agency,approxname,approxdept,state_code,google_name,google_address,lat,lon,type
New Hanover Twp Police Dept,New Hanover Twp,Police Dept,PA,New Hanover Police Department,"2943 N Charlotte St, Gilbertsville, PA 19525, United States",40.3021793,-75.5831729,"police,point_of_interest,establishment"
Peters Twp (Washington Co) Police Dept,Peters Twp (Washington Co),Police Dept,PA,Peters Township Police Department,"200 Municipal Drive, Venetia, PA 15367, United States",40.2795971,-80.0809816,"police,point_of_interest,establishment"
Woolwich Twp Police Dept,Woolwich Twp,Police Dept,NJ,Woolwich Township Police Department,"120 Village Green Dr, Woolwich Township, NJ 08085, United States",39.7358319,-75.3250144,"police,point_of_interest,establishment"
Bay County Sheriff Office,Bay County,Sheriff Office,MI,Bay County Sheriff Department,"503 3rd St, Bay City, MI 48708, United States",43.6009664,-83.8853179,"local_government_office,police,point_of_interest,establishment"
Grayson County Sheriff Department,Grayson County,Sheriff Department,TX,Grayson County Sheriffs Office,"200 S Crockett St, Sherman, TX 75090, United States",33.6345214,-96.6105157,"local_government_office,police,point_of_interest,establishment"
Pinellas County Sheriff Department,Pinellas County,Sheriff Department,FL,Pinellas County Sheriff's Office,"10750 Ulmerton Rd, Largo, FL 33778, United States",27.8934545,-82.7906942,"local_government_office,police,point_of_interest,establishment"
Jasper County Sheriff Department,Jasper County,Sheriff Department,MO,Jasper County Jail,"405 E 5th St, Carthage, MO 64836, United States",37.1756212,-94.3073621,"local_government_office,police,point_of_interest,establishment"
Forsyth County Sheriff Department,Forsyth County,Sheriff Department,NC,Forsyth County Sheriff Office,"301 N Church St, Winston-Salem, NC 27101, United States",36.0982605,-80.2424913,"local_government_office,police,point_of_interest,establishment"
Laramie County Sheriff Department,Laramie County,Sheriff Department,WY,Laramie County Jail,"1910 Pioneer Ave, Cheyenne, WY 82001, United States",41.1349076,-104.8197591,"police,point_of_interest,establishment"
Rancho Santa Margari,,,CA,Rancho Santa Margarita Office,"22112 El Paseo, Rancho Sta Marg, CA 92688, United States",33.6421552,-117.5948363,"local_government_office,point_of_interest,establishment"
New Canaan Police Dept,New Canaan,Police Dept,CT,New Canaan Police Department,"174 South Ave, New Canaan, CT 06840, United States",41.1411194,-73.4909503,"local_government_office,police,point_of_interest,establishment"
Hobart-Lawrence,,,WI,Oneida Police Department,"2783 Freedom Rd, Oneida, WI 54155, United States",44.4909396,-88.1863369,"police,point_of_interest,establishment"
San Joaquin County Sheriff Department,San Joaquin County,Sheriff Department,CA,San Joaquin County Sheriff's Office,"7000 Michael Canlis Blvd, French Camp, CA 95231, United States",37.8860781,-121.2964734,"local_government_office,police,point_of_interest,establishment"
Monroe County Sheriff Department,Monroe County,Sheriff Department,IN,Monroe County Sheriff's Department,"301 N College Ave, Bloomington, IN 47404, United States",39.1690843,-86.5351299,"local_government_office,police,point_of_interest,establishment"
Tuscola County Sheriff Office,Tuscola County,Sheriff Office,MI,Tuscola County Sheriff,"420 Court St #1, Caro, MI 48723, United States",43.4903451,-83.3925953,"local_government_office,police,point_of_interest,establishment"
Grafton Police Dept,Grafton,Police Dept,MA,Grafton Police Department,"28 Providence Rd, Grafton, MA 01519, United States",42.2096101,-71.693175,"police,point_of_interest,establishment"
Bonneville County Sheriff Department,Bonneville County,Sheriff Department,ID,Bonneville County Sheriff,"605 N Capital Ave, Idaho Falls, ID 83402, United States",43.4951032,-112.041276,"local_government_office,police,point_of_interest,establishment"
Eastern Adams Region,,,PA,The Eastern Adams Regional Police,"110 N Berlin Ave, New Oxford, PA 17350, United States",39.866091,-77.0532949,"police,point_of_interest,establishment"
Culpeper County Sheriff Office,Culpeper County,Sheriff Office,VA,Culpeper County Sheriff-Invstgtn,"110 W Cameron St, Culpeper, VA 22701, United States",38.4741177,-77.9960159,"fire_station,point_of_interest,establishment"
Harris County Sheriff Department,Harris County,Sheriff Department,GA,Harris County Sheriff's Department,"9825 GA-116, Hamilton, GA 31811, United States",32.7643899,-84.8663732,"local_government_office,police,point_of_interest,establishment"
Cochise County Sheriff Department,Cochise County,Sheriff Department,AZ,Cochise County Sheriff Substation,"100 Colonia De Salud, Sierra Vista, AZ 85635, United States",31.5531143,-110.2328657,"local_government_office,police,point_of_interest,establishment"
Hudson City Police Dept,Hudson City,Police Dept,OH,Hudson Police Department,"Hudson, OH 44236, United States",41.238552,-81.4360885,"police,point_of_interest,establishment"
Wilson County Sheriff Department,Wilson County,Sheriff Department,TX,Wilson County: Sheriff's Department,"800 10th St, Floresville, TX 78114, United States",29.147764,-98.15763,"local_government_office,police,point_of_interest,establishment"
Crawford County Sheriff Department,Crawford County,Sheriff Department,AR,Crawford County Sheriff's Office,"300 Main St, Van Buren, AR 72956, United States",35.4345571,-94.3560938,"local_government_office,police,point_of_interest,establishment"
East Grand Rapids Police Dept,East Grand Rapids,Police Dept,MI,City of East Grand Rapids: Public Safety Department,"770 Lakeside Dr SE, Grand Rapids, MI 49506, United States",42.9482576,-85.6105449,"police,local_government_office,point_of_interest,establishment"
Morrison County Sheriff Department,Morrison County,Sheriff Department,MN,Morrison County Sheriff,"213 1st Ave SE, Little Falls, MN 56345, United States",45.9752571,-94.3610259,"local_government_office,police,point_of_interest,establishment"
Kalamazoo County Sheriff Department,Kalamazoo County,Sheriff Department,MI,Kalamazoo County Sheriff's Office,"1500 Lamont Ave, Kalamazoo, MI 49048, United States",42.2759028,-85.5490667,"local_government_office,police,point_of_interest,establishment"
Shiawassee County Sheriff Department,Shiawassee County,Sheriff Department,MI,Shiawassee County Sheriff,"201 E McArthur St, Corunna, MI 48817, United States",42.981544,-84.1171769,"local_government_office,police,point_of_interest,establishment"
Madison County Sheriff Department,Madison County,Sheriff Department,AL,Sheriff's Department-Pistol Permit,"100 Northside Square #206, Huntsville, AL 35801, United States",34.7302669,-86.5850623,"local_government_office,police,point_of_interest,establishment"
Madison Police Dept,Madison,Police Dept,CT,Madison Police Department,"9 Campus Dr, Madison, CT 06443, United States",41.2956667,-72.5763681,"police,point_of_interest,establishment"
Dudley Police Dept,Dudley,Police Dept,MA,Dudley Police Department,"71 W Main St, Dudley, MA 01571, United States",42.0456009,-71.8958318,"police,point_of_interest,establishment"
Shelby County Sheriff Department,Shelby County,Sheriff Department,AL,Shelby County Sheriff's Office,"380 McDow Rd, Columbiana, AL 35051, United States",33.1846098,-86.6261672,"local_government_office,police,point_of_interest,establishment"
Jackson County Sheriff Department,Jackson County,Sheriff Department,OR,Jackson County Sheriff,"5179 Crater Lake Hwy, Central Point, OR 97502, United States",42.391752,-122.8566908,"local_government_office,police,point_of_interest,establishment"
Washtenaw County Sheriff Department,Washtenaw County,Sheriff Department,MI,Washtenaw County Sheriff's Office-Civil Bureau,"2201 Hogback Rd, Ann Arbor, MI 48105, United States",42.2559133,-83.6793466,"finance,local_government_office,police,point_of_interest,establishment"
Fairfield County Sheriff Office,Fairfield County,Sheriff Office,OH,Fairfield County Sheriff Department,"221 E Main St, Lancaster, OH 43130, United States",39.713926,-82.5989946,"local_government_office,police,point_of_interest,establishment"
Gaston County Police Department,Gaston County,Police Department,NC,Gaston County Police Department,"420 W Franklin Blvd, Gastonia, NC 28053, United States",35.2627954,-81.1888038,"police,point_of_interest,establishment"
Gaston County Police Department,Gaston County,Police Department,NC,Gaston County Police Department,"420 W Franklin Blvd, Gastonia, NC 28053, United States",35.2627954,-81.1888038,"police,point_of_interest,establishment"
Warwick Twp (Bucks Co) Police Dept,Warwick Twp (Bucks Co),Police Dept,PA,Warwick Township Police,"1733 Twp Green, Jamison, PA 18929, United States",40.2485714,-75.096428,"local_government_office,fire_station,police,point_of_interest,establishment"
Heber City Police Dept,Heber City,Police Dept,UT,Heber City Police Department,"301 S Main St, Heber City, UT 84032, United States",40.5033808,-111.4127398,"police,point_of_interest,establishment"
Waldo County Sheriff Department,Waldo County,Sheriff Department,ME,Waldo County Sheriff,"45 Congress St, Belfast, ME 04915, United States",44.42218,-69.0109357,"local_government_office,police,point_of_interest,establishment"
Mt Lebanon Twp Police Dept,Mt Lebanon Twp,Police Dept,PA,Mt Lebanon Police Association,"555 Washington Rd, Pittsburgh, PA 15228, United States",40.3834534,-80.0434468,"police,point_of_interest,establishment"
Bingham County Sheriff Department,Bingham County,Sheriff Department,ID,Bingham County Sheriff,"501 N Maple St # 405, Blackfoot, ID 83221, United States",43.194235,-112.3446865,"police,point_of_interest,establishment"
Duxbury Police Dept,Duxbury,Police Dept,MA,Duxbury Police Department,"155 Mayflower St, Duxbury, MA 02332, United States",42.0336507,-70.7000824,"police,point_of_interest,establishment"
Limestone County Sheriff Department,Limestone County,Sheriff Department,AL,Limestone County Jail,"101 W Elm St, Athens, AL 35611, United States",34.8184963,-86.9699941,"point_of_interest,establishment"
Brecksville Police Dept,Brecksville,Police Dept,OH,Brecksville Police Department,"9069 Brecksville Rd, Brecksville, OH 44141, United States",41.315638,-81.6261487,"police,point_of_interest,establishment"
Monroe Twp (Middlesex Co) Police Dept,Monroe Twp (Middlesex Co),Police Dept,NJ,Monroe Township Police Department,"3 Municipal Plz, Monroe Township, NJ 08831, United States",40.3268851,-74.4413807,"police,point_of_interest,establishment"
Greene County Sheriff Department,Greene County,Sheriff Department,MO,Greene County Sheriff,"1010 N Boonville Ave, Springfield, MO 65802, United States",37.2185084,-93.2921745,"local_government_office,police,point_of_interest,establishment"
Yavapai County Sheriff Department,Yavapai County,Sheriff Department,AZ,Yavapai County Sheriff's Office,"255 E Gurley St, Prescott, AZ 86301, United States",34.5414934,-112.4663517,"local_government_office,police,point_of_interest,establishment"
Wyoming County Sheriff Office,Wyoming County,Sheriff Office,NY,Wyoming County Sheriff,"151 N Main St, Warsaw, NY 14569, United States",42.7437774,-78.1328978,"local_government_office,police,point_of_interest,establishment"
Hopkinton Police Dept,Hopkinton,Police Dept,MA,Hopkinton Police Department,"74 Main St, Hopkinton, MA 01748, United States",42.2288375,-71.52361,"police,point_of_interest,establishment"
Oxford County Sheriff Department,Oxford County,Sheriff Department,ME,Oxford County Sheriff,"Congress , Rumford, ME 04276, United States",44.5479,-70.5548,"local_government_office,police,point_of_interest,establishment"
Washington County Sheriff Department,Washington County,Sheriff Department,NY,"Law Enforcement Center, Washington County, New York,","399 Broadway Fort, Fort Edward, NY 12828, United States",43.2891759,-73.5894942,"local_government_office,police,point_of_interest,establishment"
Westwood Boro Police Dept,Westwood Boro,Police Dept,NJ,Westwood Police Department,"101 Washington Ave, Westwood, NJ 07675, United States",40.9917652,-74.0359429,"police,point_of_interest,establishment"
Kanawha County Sheriff Department,Kanawha County,Sheriff Department,WV,Kanawha County Tax Office,"409 Virginia St E, Charleston, WV 25301, United States",38.351116,-81.6389037,"local_government_office,accounting,finance,point_of_interest,establishment"
Chemung County Sheriff Department,Chemung County,Sheriff Department,NY,Chemung County Traffic Safety,"203 William St, Elmira, NY 14901, United States",42.0906693,-76.8017156,"police,local_government_office,point_of_interest,establishment"
Sharon Police Dept,Sharon,Police Dept,MA,Police Department,"213 S Main St, Sharon, MA 02067, United States",42.1138061,-71.1869157,"police,point_of_interest,establishment"
North Codorus Twp Police Dept,North Codorus Twp,Police Dept,PA,Southwestern Regional Police,"6115 Thoman Dr, Spring Grove, PA 17362, United States",39.827579,-76.898481,"police,point_of_interest,establishment"
Village Of Port Washington Police Dept,Village Of Port Washington,Police Dept,NY,Port Washington Police District,"500 Port Washington Blvd, Port Washington, NY 11050, United States",40.8215299,-73.6815093,"police,point_of_interest,establishment"
Lindenhurst Police Dept,Lindenhurst,Police Dept,IL,Lindenhurst Police Department,"2300 E Grand Ave, Lindenhurst, IL 60046, United States",42.4059551,-88.0261328,"police,point_of_interest,establishment"
Chippewa County Sheriff Department,Chippewa County,Sheriff Department,WI,Chippewa County Sheriff,"32 E Spruce St, Chippewa Falls, WI 54729, United States",44.940792,-91.395884,"local_government_office,police,point_of_interest,establishment"
Frederick County Sheriff Department,Frederick County,Sheriff Department,MD,Sheriff's Office-Community Services,"110 E Airport Dr, Frederick, MD 21701, United States",39.4071349,-77.3752244,"local_government_office,police,point_of_interest,establishment"
Houston County Sheriff Department,Houston County,Sheriff Department,AL,Houston County Sheriff Department,"144 N Oates St, Dothan, AL 36303, United States",31.224424,-85.3931623,"local_government_office,police,point_of_interest,establishment"
Florham Park Police Dept,Florham Park,Police Dept,NJ,Florham Park Police Department,"111 Ridgedale Ave, Florham Park, NJ 07932, United States",40.7840756,-74.3979804,"police,point_of_interest,establishment"
Ridgefield Police Dept,Ridgefield,Police Dept,NJ,Ridgefield Police Hq,"604 Broad Ave, Ridgefield, NJ 07657, United States",40.8341303,-74.0090682,"police,point_of_interest,establishment"
Franklin Twp (Summit Co) Police Dept,Franklin Twp (Summit Co),Police Dept,OH,New Franklin Fire Department,"5605 Manchester Rd, Akron, OH 44319, United States",40.9526407,-81.5667019,"fire_station,point_of_interest,establishment"
Clinton Twp Police Dept,Clinton Twp,Police Dept,NJ,Police Department,"1370 NJ-31, Annandale, NJ 08801, United States",40.622542,-74.879581,"police,point_of_interest,establishment"
Fulton County Police Department,Fulton County,Police Department,GA,Fulton County Police Department,"141 Pryor St SW #4064, Atlanta, GA 30303, United States",33.7516069,-84.3917159,"police,point_of_interest,establishment"
Harrison County Sheriff Department,Harrison County,Sheriff Department,MS,Harrison County Sheriff's Office,"1801 23rd Ave, Gulfport, MS 39501, United States",30.3723899,-89.0904229,"police,point_of_interest,establishment"
Lansing Police Dept,Lansing,Police Dept,KS,Lansing Police Department,"800 1st Terrace, Lansing, KS 66043, United States",39.2373073,-94.8991382,"police,point_of_interest,establishment"
Greenwich Police Dept,Greenwich,Police Dept,CT,Greenwich Police Department,"11 Bruce Pl, Greenwich, CT 06830, United States",41.025625,-73.624703,"police,point_of_interest,establishment"
New Milford Police Dept,New Milford,Police Dept,NJ,New Milford Boro Police Department,"930 River Rd # 1, New Milford, NJ 07646, United States",40.9238303,-74.0277075,"police,point_of_interest,establishment"
Wagoner County Sheriff Office,Wagoner County,Sheriff Office,OK,Wagoner County Sheriff,"307 E Cherokee St, Wagoner, OK 74467, United States",35.9599713,-95.3741434,"local_government_office,police,point_of_interest,establishment"
Wayne County Sheriff Office,Wayne County,Sheriff Office,OH,Wayne County Sheriff's Office,"201 W North St, Wooster, OH 44691, United States",40.7994625,-81.9424822,"local_government_office,police,point_of_interest,establishment"
Morris Twp Police Dept,Morris Twp,Police Dept,NJ,Morris Township Police Department,"49 Woodland Ave, Morristown, NJ 07960, United States",40.7804131,-74.4641667,"police,point_of_interest,establishment"
Ionia County Sheriff Office,Ionia County,Sheriff Office,MI,Ionia County Office of the Sheriff,"133 E Adams St, Ionia, MI 48846, United States",42.981595,-85.061541,"police,point_of_interest,establishment"
Isabella County Sheriff Department,Isabella County,Sheriff Department,MI,Isabella County Sheriff,"207 Court St, Mt Pleasant, MI 48858, United States",43.6059282,-84.775494,"local_government_office,police,point_of_interest,establishment"
Montgomery Twp Police Dept,Montgomery Twp,Police Dept,NJ,Montgomery Police Department,"2261 Van Home Road, US Highway 206, NJ 08502, United States",40.456718,-74.657866,"police,point_of_interest,establishment"
American Twp Police Dept,American Twp,Police Dept,OH,American Township Police Department,"102 Pioneer Rd, Lima, OH 45807, United States",40.78315,-84.188749,"police,point_of_interest,establishment"
Saratoga County Sheriff Department,Saratoga County,Sheriff Department,NY,Saratoga County Sheriff,"6010 County Farm Rd, Ballston Spa, NY 12020, United States",43.0202014,-73.8737804,"local_government_office,police,point_of_interest,establishment"
Klamath County Sheriff Office,Klamath County,Sheriff Office,OR,Klamath County Sheriff's Office,"3300 Vandenberg Ave, Klamath Falls, OR 97603, United States",42.2203848,-121.7488375,"local_government_office,police,point_of_interest,establishment"
North Chicago Police Dept,North Chicago,Police Dept,IL,North Chicago Police Department,"1850 Lewis Ave, North Chicago, IL 60064, United States",42.3256615,-87.8567428,"fire_station,point_of_interest,establishment"
Bluefield Police Dept,Bluefield,Police Dept,WV,Bluefield Police Department,"200 Rogers St, Bluefield, WV 24701, United States",37.2678392,-81.2269545,"police,point_of_interest,establishment"
Charleston Police Dept,Charleston,Police Dept,IL,Charleston Police Department,"614 6th St, Charleston, IL 61920, United States",39.4939323,-88.1757737,"police,point_of_interest,establishment"
Upper Providence Twp (Delaware) Police Dept,Upper Providence Twp (Delaware),Police Dept,PA,Upper Providence Police Department,"1286 Black Rock Rd, Phoenixville, PA 19460, United States",40.1622741,-75.4879021,"police,point_of_interest,establishment"
Sanilac County Sheriff Department,Sanilac County,Sheriff Department,MI,Sanilac County Sheriff,"65 N Elk St, Sandusky, MI 48471, United States",43.4223027,-82.8304336,"police,point_of_interest,establishment"
Barry County Sheriff Department,Barry County,Sheriff Department,MI,Barry County Sheriff,"1212 W State St, Hastings, MI 49058, United States",42.6471646,-85.3032749,"local_government_office,police,point_of_interest,establishment"
Hasbrouch Heights Police Dept,Hasbrouch Heights,Police Dept,NJ,Hasbrouck Heights Police Department,"248 Hamilton Ave, Hasbrouck Heights, NJ 07604, United States",40.8601877,-74.0773088,"police,local_government_office,point_of_interest,establishment"
Waller County Sheriff Department,Waller County,Sheriff Department,TX,Waller County Sheriff's Department,"701 Calvit St, Hempstead, TX 77445, United States",30.1023915,-96.0753542,"local_government_office,police,point_of_interest,establishment"
Greene County Sheriff Department,Greene County,Sheriff Department,IN,Greene County Sheriff Department,"70 E Spring St, Bloomfield, IN 47424, United States",39.025957,-86.9376781,"local_government_office,police,point_of_interest,establishment"
Etowah County Sheriff Department,Etowah County,Sheriff Department,AL,Etowah County Sheriff's Office,"827 Forrest Ave, Gadsden, AL 35901, United States",34.0164836,-86.0123896,"local_government_office,police,point_of_interest,establishment"
Seneca County Sheriff Department,Seneca County,Sheriff Department,OH,Seneca County Sheriff Office,"3040 OH-100, Tiffin, OH 44883, United States",41.080253,-83.1530105,"local_government_office,police,point_of_interest,establishment"
Erie Police Dept,Erie,Police Dept,CO,Erie Police Department,"1000 Telleen Ave, Erie, CO 80516, United States",40.0450336,-105.0555657,"police,point_of_interest,establishment"
Mobile County Sheriff Department,Mobile County,Sheriff Department,AL,Mobile County SheriffÆs Office,"510 S Royal St, Mobile, AL 36603, United States",30.6793025,-88.0408186,"local_government_office,police,point_of_interest,establishment"
Sherburne County Sheriff Department,Sherburne County,Sheriff Department,MN,Sherburne County Sheriff,"13880 Business Center Dr NW, Elk River, MN 55330, United States",45.3037277,-93.6202739,"local_government_office,police,point_of_interest,establishment"
Walker County Sheriff Department,Walker County,Sheriff Department,TX,Walker County Sheriff's Office,"717 FM 2821 Rd W #500, Huntsville, TX 77320, United States",30.737974,-95.570931,"local_government_office,police,point_of_interest,establishment"
Stony Point Police Dept,Stony Point,Police Dept,NY,Stony Point Police Department,"79 NY-210, Stony Point, NY 10980-1798, United States",41.2270663,-73.9929931,"police,point_of_interest,establishment"
Grant County Sheriff Department,Grant County,Sheriff Department,WI,Grant County Sheriff Department,"1000 N Adams St, Lancaster, WI 53813, United States",42.8567739,-90.7079652,"local_government_office,police,point_of_interest,establishment"
Streetsboro Police Dept,Streetsboro,Police Dept,OH,Streetsboro Police Department,"2080 OH-303, Streetsboro, OH 44241, United States",41.2381831,-81.3171505,"police,point_of_interest,establishment"
Clark County Sheriff Office,Clark County,Sheriff Office,WI,Clark County Sheriff's office,"517 Court St, Neillsville, WI 54456, United States",44.5600443,-90.5946151,"local_government_office,police,point_of_interest,establishment"
Madison County Sheriff Department,Madison County,Sheriff Department,KY,Madison County Sheriff's Office,"135 W Irvine St B01, Richmond, KY 40475, United States",37.7487561,-84.294119,"local_government_office,police,point_of_interest,establishment"
Glen Carbon Police Dept,Glen Carbon,Police Dept,IL,Glen Carbon Police Department,"149 N Main St, Glen Carbon, IL 62034, United States",38.7633333,-89.9688286,"police,point_of_interest,establishment"
Medfield Police Dept,Medfield,Police Dept,MA,Medfield Police Department,"110 North St, Medfield, MA 02052, United States",42.1912246,-71.3097094,"police,point_of_interest,establishment"
Lewis & Clark County Sheriff Office,Lewis & Clark County,Sheriff Office,MT,Lewis University,"1 University Pkwy, Romeoville, IL 60446, United States",41.6025512,-88.0804503,"university,point_of_interest,establishment"
Shawnee County Sheriff Department,Shawnee County,Sheriff Department,KS,Shawnee County,"320 S Kansas Ave #200, Topeka, KS 66603, United States",39.0547011,-95.6701254,"local_government_office,police,point_of_interest,establishment"
Bedford Police Dept,Bedford,Police Dept,MA,Bedford Police Department,"2 Mudge Way, Bedford, MA 01730, United States",42.4931302,-71.2830407,"local_government_office,police,point_of_interest,establishment"
Lowndes County Sheriff Department,Lowndes County,Sheriff Department,GA,Lowndes County Sheriff's Office,"120 Prison-Farm Rd, Valdosta, GA 31601, United States",30.8080236,-83.2719711,"local_government_office,police,point_of_interest,establishment"
